S2_1,S2_2,plDDT
B,B,81.06210487736843
B,C,66.11748655588235
B,E,95.58666737666665
B,G,86.34000142333333
B,H,95.20333353666666
B,S,84.75710692484277
B,T,85.32661860633092
C,B,73.2432299453018
C,C,35.300865860507734
C,E,86.15540886654088
C,G,78.77451538068877
C,H,80.1406021147385
C,P,40.33347823902962
C,S,51.75355900504791
C,T,66.23157892247848
E,B,77.70909136
E,C,87.03597565860976
E,E,86.85182623553283
E,G,78.046248911875
E,H,77.13999939
E,S,85.17310998538875
E,T,83.03509603975961
G,B,85.478749275
G,C,76.43368007069445
G,E,92.51444430911111
G,G,81.1969493535889
G,H,86.98999786
G,P,45.31000137
G,S,50.631600088266666
G,T,82.23862719039215
H,C,80.97185219666666
H,E,92.51000214
H,H,77.60945694246607
H,S,67.8387954439759
H,T,82.2589852705797
I,B,85.065002445
P,B,83.60636347181818
P,C,41.916383777576456
P,E,48.414999005
P,P,53.5564851480198
P,S,45.899263418798455
P,T,45.56057689147436
S,B,86.99350315713376
S,C,46.42564822170347
S,E,88.16024303044534
S,G,78.15030299109091
S,H,73.88012302881148
S,P,65.91794144843136
S,S,57.794216218745625
S,T,78.84603691967742
T,B,88.81850878399123
T,C,73.42174441801554
T,E,85.67212595929134
T,G,81.60625702843575
T,H,75.95292686829268
T,P,56.549999510000006
T,S,63.89086883334842
T,T,70.61970809198148
