,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
AA,0,0,0,2,0,0,8,0,5,0,0,0,0,5,0,0,0,0,1,3,0,1,15,0,0,0,0,2,0,0,3,12,0,0,0,0,0,0,3,3,0,0,15,461,0,1,0,0,0,0,0,0,2,0,0,0,0,57,0,0,0,11,294,742,0,98,0,3,0,0,0,0,23,0,0,0,0,29,10,0,0,1,0,5,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,3,0,31,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,6,0,0,8,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,6,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,9,0,1,39,1,60,1,24,2,0,0,0,9,0,85,36,0,41,0,1,0,1,0,8,1,0,0,3,0,0,7,0,112,0,0,63,0,121,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34,9,0,0,0,0,0,0,0,19,4,1,0,0,2,20,4,0,1,0,0,15,0,3,16,1,0,16,4,0,0,0,0,0,2,8,14,0,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6,3
AC,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,8,82,0,7,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,4,0,11,0,0,0,0,4,0,15,11,0,6,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,0,0,0,2,2,0,0,0,2,8,0,0,0,0,0,6,0,0,1,0,0,13,0,0,0,0,0,0,1,3,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
AD,0,0,0,4,0,0,24,0,2,0,0,0,0,4,0,0,2,0,0,7,0,0,14,0,0,0,2,1,0,0,0,27,0,0,1,0,0,0,7,3,0,0,14,69,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,75,174,0,24,0,1,0,0,0,0,6,0,0,0,0,5,0,0,0,1,1,3,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,2,5,7,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,7,2,0,0,0,3,0,0,4,2,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,9,0,8,0,0,144,0,9,1,18,5,0,0,0,22,6,86,33,0,5,2,0,0,1,0,0,4,0,0,1,0,0,0,0,2,0,0,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,28,86,2,0,0,0,0,0,0,0,1,22,2,0,0,1,25,16,0,8,0,0,3,0,7,0,1,0,10,10,0,0,0,0,0,3,3,15,0,4,2,1,0,0,0,0,0,0,0,7,0,1,0,0,2,2,5,1
AE,0,0,0,7,0,0,32,0,2,0,0,0,0,6,0,0,3,0,0,7,0,0,17,0,0,0,1,1,0,0,4,9,2,0,0,0,0,0,20,13,0,0,12,142,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,97,357,0,45,0,1,0,0,0,0,3,0,0,0,0,5,1,0,0,1,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,4,18,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,1,0,15,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,4,0,0,228,0,16,2,18,6,0,0,0,27,5,173,91,0,8,5,0,0,1,0,4,1,0,0,1,0,0,0,0,6,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,133,2,0,0,0,0,0,0,0,6,24,6,0,0,1,49,26,0,2,1,0,2,0,4,0,1,0,2,8,0,0,0,0,0,0,4,22,0,2,1,0,0,0,0,0,1,0,0,6,2,0,0,0,0,2,1,0
AF,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,9,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,22,0,4,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,9,0,0,13,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,5,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,45,4,3,0,42,1,0,0,0,6,0,17,19,0,42,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,0,0,6,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,45,7,0,0,0,0,0,0,0,6,14,2,0,0,1,15,11,0,0,0,0,7,0,3,3,0,0,14,7,0,0,0,0,1,3,6,9,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0
AG,0,0,0,3,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,177,0,0,0,0,2,1,0,6,111,5,0,1,0,0,0,2,8,0,0,17,494,0,4,0,1,0,0,0,3,1,0,0,0,0,59,0,0,0,6,230,937,2,328,0,7,0,0,0,0,15,0,0,0,0,47,0,0,0,3,2,2,10,63,0,0,0,0,0,1,0,0,0,0,0,0,0,1,132,17,6,41,0,0,0,0,0,0,0,17,21,0,0,0,0,1,19,4,1,6,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,0,0,4,0,0,0,1,5,1,0,0,4,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,5,33,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,1,0,0,0,0,1,0,2,1,0,0,2,3,0,0,16,3,0,0,0,0,0,0,2,0,5,1,0,0,0,0,0,8,0,3,0,0,26,3,144,1,23,4,0,0,0,15,0,22,11,0,15,1,0,0,5,0,7,12,0,0,7,0,0,12,0,41,0,0,68,0,98,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,8,2,0,0,0,0,0,0,0,11,5,0,0,0,0,14,4,0,10,1,2,12,0,4,7,3,0,33,19,0,0,0,0,0,8,13,31,0,47,7,0,0,0,0,0,8,0,0,8,2,0,0,0,0,5,65,3
AH,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,2,11,0,0,1,19,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,18,41,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,77,1,4,1,10,1,0,0,0,13,2,34,18,0,13,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,51,2,0,0,1,0,0,0,0,2,10,0,0,0,0,10,11,0,2,0,0,2,0,2,1,0,0,9,4,0,0,0,0,0,1,2,2,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,8,0
AI,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,30,0,5,0,2,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,2,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,2,1,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,6,0,1,38,1,1,1,32,0,0,0,0,8,0,32,11,0,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,5,0,0,1,0,0,0,0,12,3,0,0,0,2,6,0,0,2,0,0,13,0,0,3,0,0,11,1,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
AK,0,0,0,5,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,21,1,0,0,1,0,0,0,1,11,2,0,0,0,0,0,7,4,0,0,9,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,62,173,0,14,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,7,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,129,2,16,7,18,3,0,0,0,15,7,101,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,60,3,0,0,0,0,0,0,0,5,9,0,0,0,2,16,18,0,1,0,0,2,0,7,0,0,0,5,6,0,0,0,0,0,2,1,9,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,3
AL,0,0,0,2,0,0,18,1,3,0,0,0,0,2,0,0,0,0,0,5,0,3,6,0,0,0,0,0,1,0,3,3,1,0,0,0,0,0,8,2,0,0,3,90,0,0,0,0,0,0,0,0,2,0,0,0,0,37,0,0,0,5,90,189,1,30,0,3,0,0,0,0,7,0,0,0,0,14,2,0,0,9,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,3,0,13,0,0,21,0,0,0,0,12,6,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,8,2,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,12,0,0,0,3,19,0,0,5,4,0,0,0,0,0,0,27,0,7,0,0,0,0,0,0,2,0,13,0,0,97,1,15,2,77,3,0,0,0,21,5,125,49,0,163,4,1,0,1,0,6,0,0,0,2,0,0,1,0,66,0,0,16,0,60,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,58,5,0,0,2,0,0,0,0,53,13,6,0,0,8,30,10,0,5,0,0,44,0,8,13,1,0,35,5,0,0,0,0,0,8,8,22,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,11,0
