PB1,PB2,plDDT
a,a,44.339518287509264
a,i,38.25576431893402
a,l,55.93893740975332
a,n,80.69478662822951
a,o,67.61335483677419
a,p,55.989010051795916
b,i,72.1264080921408
b,n,83.18588733685483
b,o,50.62263801196319
c,a,49.55612765576064
c,h,61.14139591811595
c,i,41.461906058981874
c,l,66.39161684985055
c,m,64.90053194457447
c,n,79.62288008888001
d,a,36.91761213120541
d,h,43.197085515366496
d,i,35.46732566216045
d,k,71.96309849887324
d,m,78.141999814
d,n,85.9859369990625
e,a,35.878922275038505
e,c,50.15944981325074
e,f,55.080540682567566
e,g,42.81969528744545
e,i,34.0174702629217
e,l,85.52541605666666
e,n,85.80564156615385
e,o,72.0235157234575
e,p,36.834285703199996
f,a,39.96799977733333
f,d,46.041302933591254
f,f,51.14943420004549
f,g,63.72564808936757
f,h,74.5730200132886
f,j,53.90980365254902
f,l,51.103219702476785
f,m,77.08572785556086
f,o,90.29520019559999
g,a,49.46445489912075
g,d,68.30221687225556
g,e,43.78534114884529
g,i,38.414135536805084
g,k,82.08448105957548
g,l,82.02940595237624
g,n,82.9915225112336
g,p,57.99374878169633
h,a,36.26612628315789
h,b,42.714123175218134
h,c,60.8934463134887
h,e,34.63706617363937
h,g,43.7369067953178
h,m,83.78167569951351
h,n,79.92369350728222
h,o,81.57117434006712
i,b,45.83707403248148
i,c,59.9752001572
i,d,36.70145867310536
i,e,35.1249668484441
i,h,39.408752130455554
i,i,33.59716290451357
i,m,87.3416454456962
i,n,77.72043510108696
i,o,74.45103220754838
i,p,51.861516759606744
j,c,84.72952955238655
j,g,56.25085431324958
j,h,56.0434573418217
j,i,35.11758761365025
j,j,42.419491548607
j,n,83.31906971443799
j,o,77.38632124031088
j,p,61.38000019395833
k,d,63.64273636330189
k,e,58.93459621006211
k,h,74.7796242650376
k,i,85.7896502448316
k,k,69.59196830207398
k,m,55.12458595772521
k,p,88.16428800104747
l,d,78.97909060454545
l,f,75.96047561482519
l,j,83.55894352169811
m,d,75.69960814901961
m,e,77.25
m,i,85.17058854999999
m,j,87.12767112424658
n,a,76.64281265429688
n,c,45.82090628451081
n,h,81.66329807081794
n,i,82.3105881635294
n,k,90.56695128609756
n,p,82.7905442117687
o,a,81.02999988038461
o,b,43.80586621237082
o,f,70.83503217387096
o,h,78.78005002614357
p,b,75.7317999649
p,d,38.74333356333333
p,e,46.740483679267975
p,h,71.48933698320442
p,i,52.43123921904348
p,k,79.5131609386134
p,n,88.7286416568576
p,o,84.79394925494566
p,p,77.21102565346153
